Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
166,ASPASIA COM SRL,STR PARCULUI NR 7 BL P 22 SC D,TOPOLOVENI,ARGES,AGENTIE DE TURISM,0
167,PENSIUNEA VALEA MARE,STR BUSOLEI NR 1,VALEA MARE,ARGES,PENSIUNE,2
168,ANYWHERE TRAVEL WORLD SRL,ULITA VALEA PLOPII DEAL NR 96B,VALEA MARE PODGORIA,ARGES,AGENTIE DE TURISM,0
169,POIANA ZANELOR,STR REPUBLICII NR 59,VALEA MARE PRAVAT,ARGES,PENSIUNE,2
170,ALTLAS TRIP,CALEA MARASESTI NR 5 CAM 34,BACAU,BACAU,AGENTIE DE TURISM,0
171,AGENTIA DE TURISM CEDRA TOUR,PASAJUL REVOLUTIEI NR 6,BACAU,BACAU,AGENTIE DE TURISM,0
172,CHARTER TRANS AIR AGENCY,STR 9 MAI NR 15,BACAU,BACAU,AGENTIE DE TURISM,0
173,TOP TRAVEL GOLD,STR 9 MAI NR 52 BL 52 SC B AP 2,BACAU,BACAU,AGENTIE DE TURISM,0
174,ELI-TOUR,STR 9 MAI NR 54 PARTER,BACAU,BACAU,AGENTIE DE TURISM,0
175,MONTEO TRAVEL,STR 9 MAI NR 96,BACAU,BACAU,AGENTIE DE TURISM,0
176,INTER TOUR,STR ALEXANDRU CEL BUN NR 1 SC A,BACAU,BACAU,AGENTIE DE TURISM,0
177,LECTOFORM TRAVEL,STR ALEXANDRU CEL BUN NR 1 SC B AP 1,BACAU,BACAU,AGENTIE DE TURISM,0
178,ESTERA TOUR,STR ANA IPATESCU NR 2,BACAU,BACAU,AGENTIE DE TURISM,0
179,LILANS TOURS,STR DUMBRAVEI NR 3,BACAU,BACAU,AGENTIE DE TURISM,0
180,CHRISTIAN TOUR,STR EROU GHEORGHE RUSU NR 2 SC 2,BACAU,BACAU,AGENTIE DE TURISM,0
181,ALICE TOUR,STR EROU GHEORGHE RUSU NR 4 SC G,BACAU,BACAU,AGENTIE DE TURISM,0
182,COLIN TRAVEL,STR MIHAI VITEAZU NR 1 SC D,BACAU,BACAU,AGENTIE DE TURISM,0
183,PARALELA 45 TURISM,STR MIHAI VITEAZU NR 12,BACAU,BACAU,AGENTIE DE TURISM,0
184,CRONOS TRAVEL,STR MIHAI VITEAZU NR 3BIS SC D,BACAU,BACAU,AGENTIE DE TURISM,0
185,TRAVEL PLAZA,STR NICOLAE BALCESCU NR 5,BACAU,BACAU,AGENTIE DE TURISM,0
186,ALEX TOURS,STR OITUZ NR 2,BACAU,BACAU,AGENTIE DE TURISM,0
187,ALL TOUR,STR PASAJUL REVOLUTIEI NR 3,BACAU,BACAU,AGENTIE DE TURISM,0
188,ROTRIP,STR RAZBOIENI NR 7 SC B,BACAU,BACAU,AGENTIE DE TURISM,0
189,TUI TRAVEL,STR STEFAN CEL MARE NR 28 ARENA,BACAU,BACAU,AGENTIE DE TURISM,0
190,HOTEL VENUS,STR MIHAI EMINESCU NR 1,BACAU,BACAU,HOTEL,3
191,PENSIUNEA VIALUX,STR GEORGE BACOVIA NR 127,BACAU,BACAU,PENSIUNE,3
192,VILA TELECONSTRUCTIA,STR VASILE ALECSANDRI NR 8,BACAU,BACAU,VILA,3
193,TRANSMARY TUR,ALEEA PARCULUI BL E9 PARTER AP 3,COMANESTI,BACAU,AGENTIE DE TURISM,0
194,DRAGORAM TOUR,STR REPUBLICII NR E3,COMANESTI,BACAU,AGENTIE DE TURISM,0
195,DRAGORAM TOUR,STR TUDOR VLADMIRESCU NR 10,COMANESTI,BACAU,AGENTIE DE TURISM,0
196,SEVEN TRAVEL,B-DUL REPUBLICII BL 35 SC A AP 1,ONESTI,BACAU,AGENTIE DE TURISM,0
197,ALEX TOURS,B-DUL REPUBLICII NR 17 PARTER,ONESTI,BACAU,AGENTIE DE TURISM,0
198,NET SKY,STR OITUZ NR 28 BL 28 SC A PARTE,ONESTI,BACAU,AGENTIE DE TURISM,0
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
199,PARADIS TOUR AGENTIE DE TURISM,STR REPUBLICII NR 27 BL 22,ONESTI,BACAU,AGENTIE DE TURISM,0
200,STAR TRAVEL,STR REPUBLICII NR 4 BL 4 SC A PA,ONESTI,BACAU,AGENTIE DE TURISM,0
201,MOTEL LA CAPU DACULUI,DN 2 E 85 KM 252 SAT ORBENI,ORBENI,BACAU,MOTEL,3
202,LA IZVORUL LUI STEFAN CEL MARE,DN 2 E 85 KM 256 SAT ORBENI,ORBENI,BACAU,PENSIUNE,3
203,APARTAMENTE MOLDAVIA CLASS,STR NICOLAE BALCESCU NR 18,SLANIC MOLDOVA,BACAU,CAMERE DE INCHIRIAT,3
204,HOTEL COROANA MOLDOVEI,STR PORUMBEILOR NR 1,SLANIC MOLDOVA,BACAU,HOTEL,4
205,HOTEL PERLA,STR VASILE ALECSANDRI NR 36,SLANIC MOLDOVA,BACAU,HOTEL,2
206,HOTEL EURO VACANTA,STR VASILE ALECSANDRI NR 6,SLANIC MOLDOVA,BACAU,HOTEL,2
207,HOTEL NEMIRA,STR VASILE ALECSANDRI NR 7,SLANIC MOLDOVA,BACAU,HOTEL,4
208,HOTEL BRADU,STR VULTURU FN,SLANIC MOLDOVA,BACAU,HOTEL,3
209,MOTEL MONTANA,STR N. BALCESCU NR 92,SLANIC MOLDOVA,BACAU,MOTEL,2
210,PENSIUNE POIANA VERDE,STR NICOLAE BALCESCU NR 89,SLANIC MOLDOVA,BACAU,PENSIUNE,4
211,PENSIUNEA STEJARUL,STR POIANA SORELUI NR 2,SLANIC MOLDOVA,BACAU,PENSIUNE,2
212,PENSIUNEA MARIA,STR. N. BALCESCU NR 97,SLANIC MOLDOVA,BACAU,PENSIUNE,1
213,VILA TURISTICA IOANA,STR ION CREANGA NR 9,SLANIC MOLDOVA,BACAU,VILA,2
215,VILA PUFU,STR VASILE ALECSANDRI FN,SLANIC MOLDOVA,BACAU,VILA,2
216,MAIA CRISS AGENCY,STR COSTACHE NEGRI BL G 8,TARGU OCNA,BACAU,AGENTIE DE TURISM,0
217,HOTEL HAVANA,STR COSTACHE NEGRI NR 110,TARGU OCNA,BACAU,HOTEL,4
218,HOTEL MAGURA,STR TRANDAFIRULUI NR 3,TARGU OCNA,BACAU,HOTEL,3
219,PENSIUNEA PORTILE OCNEI,STR MOSOARE NR 26A,TARGU OCNA,BACAU,PENSIUNE,3
220,HOTEL AQUA,STR PRINCIPALA NR 11B,BAILE 1 MAI,BIHOR,HOTEL,3
221,PENSIUNEA MONA LISA,STR PRINCIPALA NR 19,BAILE 1 MAI,BIHOR,PENSIUNE,3
222,EMPIRE PENSIUNE,STR PRINCIPALA NR 68,BAILE 1 MAI,BIHOR,PENSIUNE,4
223,PENSIUNEA MADALINA,STR PRINCIPALA NR 88A,BAILE 1 MAI,BIHOR,PENSIUNE,3
224,PENSIUNEA THERMALIS,STR PRINCIPALA NR 98,BAILE 1 MAI,BIHOR,PENSIUNE,3
225,PENCRIS-PENSIUNEA THERMALIS 2,"STR.PRINCIPALA,NR.99",BAILE 1 MAI,BIHOR,PENSIUNE,3
226,TRANSILVANIA HOTELS&TRAVEL,STR VICTORIA NR 8,BAILE FELIX,BIHOR,AGENTIE DE TURISM,0
227,CAMERE DE INCHIRIAT IZVOR,STR GHIOCEILOR NR 1,BAILE FELIX,BIHOR,CAMERE DE INCHIRIAT,3
228,CAMPING CARMENA,STR PRINCIPALA NR 64,BAILE FELIX,BIHOR,CAMPING,2
229,HOTEL HYPERION,CALEA BEIUSULUI NR 56,BAILE FELIX,BIHOR,HOTEL,2
230,HOTEL CRISANA,SAT BAILE FELIX COM SANMARTIN,BAILE FELIX,BIHOR,HOTEL,3
231,HOTEL MUNCEL,STR PRINCIPALA FN,BAILE FELIX,BIHOR,HOTEL,2
232,HOTEL AMI,STR PRINCIPALA NR 112A,BAILE FELIX,BIHOR,HOTEL,3
233,PENSIUNEA CASA RUSTIK,SOS DE CENTURA NR 67/6,BAILE FELIX,BIHOR,PENSIUNE,2
234,PENSIUNEA TURISTICA TOMIS,STR PRICIPALA NR 132,BAILE FELIX,BIHOR,PENSIUNE,2
235,PF UNGUR VASILE,STR PRIMAVERII NR 11,BAILE FELIX,BIHOR,PENSIUNE,3
236,PENSIUNEA SILVIA,STR PRIMAVERII NR 63,BAILE FELIX,BIHOR,PENSIUNE,3
237,PENSIUNEA LORA,STR PRINCIPALA NR 111,BAILE FELIX,BIHOR,PENSIUNE,3
238,PENSIUNEA ANA MARIA,STR PRINCIPALA NR 112,BAILE FELIX,BIHOR,PENSIUNE,3
239,PENSIUNEA SEBASTIAN,STR PRINCIPALA NR 112B COMUNA SA,BAILE FELIX,BIHOR,PENSIUNE,3
240,PENSIUNEA DAVIDOF,STR PRINCIPALA NR 117 A,BAILE FELIX,BIHOR,PENSIUNE,2
241,PENSIUNEA TURISTICA FLORI,STR PRINCIPALA NR 120,BAILE FELIX,BIHOR,PENSIUNE,3
242,PENSIUNEA DELIA,STR PRINCIPALA NR 120/2 COMUNA S,BAILE FELIX,BIHOR,PENSIUNE,3
